          it       t  truncado con cos sigmap(n) a(i)                     emegas(i)               emepla(i)/5.7d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                     sigmag_0
           1   78301.000000000000       0.78586006796700159        0.0000000000000000        6.3897506545046945E-002   265240163.14954519        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           2   78401.000000000000       0.78585349503056678        0.0000000000000000        6.3981382348462221E-002   265356067.86518577        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           3   78501.000000000000       0.78584691386871763        0.0000000000000000        6.4065105962720609E-002   265471661.57116768        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           4   78601.000000000000       0.78584032449855912        0.0000000000000000        6.4148677333514342E-002   265586944.95962605        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           5   78701.000000000000       0.78583372693720033        0.0000000000000000        6.4232096408809558E-002   265701918.72195408        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           6   78801.000000000000       0.78582712120175446        0.0000000000000000        6.4315363138834541E-002   265816583.54879895        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           7   78901.000000000000       0.78582050730933839        0.0000000000000000        6.4398477476067847E-002   265930940.13005757        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           8   79001.000000000000       0.78581388527707252        0.0000000000000000        6.4481439375226532E-002   266044989.15487266        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           9   79101.000000000000       0.78580725512208049        0.0000000000000000        6.4564248793254481E-002   266158731.31162834        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          10   79201.000000000000       0.78580061686148905        0.0000000000000000        6.4646905689310516E-002   266272167.28794640        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
