          it         t                          a(i)                     emegas(i)              emepla(i)/5.97d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                     sigmag_0
           1   78601.000000000000       0.78589325355729889        0.0000000000000000        6.1298134624032344E-002   265659664.81838647        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           2   78701.000000000000       0.78588694699926287        0.0000000000000000        6.1377971786709860E-002   265774850.08360761        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           3   78801.000000000000       0.78588063260182184        0.0000000000000000        6.1457663208471340E-002   265889725.78050137        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           4   78901.000000000000       0.78587431038129640        0.0000000000000000        6.1537208843234957E-002   266004292.60065198        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           5   79001.000000000000       0.78586798035401040        0.0000000000000000        6.1616608647066091E-002   266118551.23488760        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           6   79101.000000000000       0.78586164253629109        0.0000000000000000        6.1695862578166054E-002   266232502.37327647        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           7   79201.000000000000       0.78585529694446865        0.0000000000000000        6.1774970596860775E-002   266346146.70512265        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           8   79301.000000000000       0.78584894359487600        0.0000000000000000        6.1853932665589577E-002   266459484.91896203        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           9   79401.000000000000       0.78584258250384842        0.0000000000000000        6.1932748748893929E-002   266572517.70255852        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          10   79501.000000000000       0.78583621368772372        0.0000000000000000        6.2011418813406230E-002   266685245.74289986        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          11   79601.000000000000       0.78582983716284172        0.0000000000000000        6.2089942827838578E-002   266797669.72619390        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          12   79701.000000000000       0.78582345294554401        0.0000000000000000        6.2168320762971581E-002   266909790.33786452        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          13   79801.000000000000       0.78581706105217386        0.0000000000000000        6.2246552591643231E-002   267021608.26254803        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          14   79901.000000000000       0.78581066149907597        0.0000000000000000        6.2324638288737647E-002   267133124.18408909        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          15   80001.000000000000       0.78580425430259626        0.0000000000000000        6.2402577831174012E-002   267244338.78553727        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          16   80101.000000000000       0.78579783947908155        0.0000000000000000        6.2480371197895401E-002   267355252.74914306        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          17   80201.000000000000       0.78579141704487943        0.0000000000000000        6.2558018369857707E-002   267465866.75635424        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          18   80301.000000000000       0.78578498701633803        0.0000000000000000        6.2635519330018485E-002   267576181.48781216        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          19   80401.000000000000       0.78577854940980596        0.0000000000000000        6.2712874063325999E-002   267686197.62334830        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          20   80501.000000000000       0.78577210424163169        0.0000000000000000        6.2790082556707996E-002   267795915.84198040        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          21   80601.000000000000       0.78576565152816380        0.0000000000000000        6.2867144799060845E-002   267905336.82190922        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          22   80701.000000000000       0.78575919128575045        0.0000000000000000        6.2944060781238376E-002   268014461.24051470        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          23   80801.000000000000       0.78575272353073933        0.0000000000000000        6.3020830496040944E-002   268123289.77435261        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          24   80901.000000000000       0.78574624827947737        0.0000000000000000        6.3097453938204470E-002   268231823.09915119        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          25   81001.000000000000       0.78573976554831060        0.0000000000000000        6.3173931104389430E-002   268340061.88980761        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          26   81101.000000000000       0.78573327535358395        0.0000000000000000        6.3250261993169965E-002   268448006.82038450        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          27   81201.000000000000       0.78572677771164101        0.0000000000000000        6.3326446605022915E-002   268555658.56410682        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          28   81301.000000000000       0.78572027263882382        0.0000000000000000        6.3402484942316928E-002   268663017.79335833        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          29   81401.000000000000       0.78571376015147254        0.0000000000000000        6.3478377009301618E-002   268770085.17967844        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          30   81501.000000000000       0.78570724026592553        0.0000000000000000        6.3554122812096644E-002   268876861.39375883        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          31   81601.000000000000       0.78570071299851896        0.0000000000000000        6.3629722358680960E-002   268983347.10544032        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          32   81701.000000000000       0.78569417836558675        0.0000000000000000        6.3705175658881869E-002   269089542.98370969        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
