          it         t                          a(i)                     emegas(i)              emepla(i)/5.97d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                     sigmag_0
           1   69501.000000000000       0.69087864529051601        0.0000000000000000        5.0045358823117309E-002   237208765.18518484        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           2   69601.000000000000       0.69087275575474338        0.0000000000000000        5.0098310355971579E-002   237292337.98191044        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           3   69701.000000000000       0.69086685995011510        0.0000000000000000        5.0151102783027257E-002   237375601.27855206        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           4   69801.000000000000       0.69086095789503954        0.0000000000000000        5.0203736359055562E-002   237458556.10531238        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           5   69901.000000000000       0.69085504960789568        0.0000000000000000        5.0256211340263660E-002   237541203.48983142        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           6   70001.000000000000       0.69084913510703305        0.0000000000000000        5.0308527984276041E-002   237623544.45718613        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           7   70101.000000000000       0.69084321441077134        0.0000000000000000        5.0360686550115927E-002   237705580.02988988        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           8   70201.000000000000       0.69083728753740048        0.0000000000000000        5.0412687298186806E-002   237787311.22789213        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           9   70301.000000000000       0.69083135450518007        0.0000000000000000        5.0464530490254143E-002   237868739.06857812        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          10   70401.000000000000       0.69082541533233988        0.0000000000000000        5.0516216389427111E-002   237949864.56676880        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          11   70501.000000000000       0.69081947003707900        0.0000000000000000        5.0567745260140483E-002   238030688.73472044        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          12   70601.000000000000       0.69081351863756613        0.0000000000000000        5.0619117368136637E-002   238111212.58212474        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          13   70701.000000000000       0.69080756115193931        0.0000000000000000        5.0670332980447645E-002   238191437.11610875        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          14   70801.000000000000       0.69080159759830573        0.0000000000000000        5.0721392365377489E-002   238271363.34123477        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          15   70901.000000000000       0.69079562799474170        0.0000000000000000        5.0772295792484386E-002   238350992.25950071        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          16   71001.000000000000       0.69078965235929246        0.0000000000000000        5.0823043532563221E-002   238430324.87034005        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          17   71101.000000000000       0.69078367070997193        0.0000000000000000        5.0873635857628073E-002   238509362.17062208        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          18   71201.000000000000       0.69077768306476262        0.0000000000000000        5.0924073040894899E-002   238588105.15465239        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          19   71301.000000000000       0.69077168944161571        0.0000000000000000        5.0974355356764263E-002   238666554.81417295        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          20   71401.000000000000       0.69076568985845044        0.0000000000000000        5.1024483080804199E-002   238744712.13836277        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          21   71501.000000000000       0.69075968433315460        0.0000000000000000        5.1074456489733237E-002   238822578.11383808        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          22   71601.000000000000       0.69075367288358380        0.0000000000000000        5.1124275861403411E-002   238900153.72465315        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          23   71701.000000000000       0.69074765552756168        0.0000000000000000        5.1173941474783526E-002   238977439.95230079        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          24   71801.000000000000       0.69074163228287977        0.0000000000000000        5.1223453609942411E-002   239054437.77571285        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          25   71901.000000000000       0.69073560316729732        0.0000000000000000        5.1272812548032363E-002   239131148.17126116        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          26   72001.000000000000       0.69072956819854114        0.0000000000000000        5.1322018571272623E-002   239207572.11275810        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          27   72101.000000000000       0.69072352739430531        0.0000000000000000        5.1371071962933029E-002   239283710.57145754        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          28   72201.000000000000       0.69071748077225159        0.0000000000000000        5.1419973007317737E-002   239359564.51605558        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          29   72301.000000000000       0.69071142835000865        0.0000000000000000        5.1468721989749069E-002   239435134.91269171        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          30   72401.000000000000       0.69070537014517241        0.0000000000000000        5.1517319196551427E-002   239510422.72494966        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          31   72501.000000000000       0.69069930617530584        0.0000000000000000        5.1565764915035388E-002   239585428.91385829        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          32   72601.000000000000       0.69069323645793868        0.0000000000000000        5.1614059433481803E-002   239660154.43789300        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          33   72701.000000000000       0.69068716101056737        0.0000000000000000        5.1662203041126113E-002   239734600.25297660        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          34   72801.000000000000       0.69068107985065519        0.0000000000000000        5.1710196028142690E-002   239808767.31248069        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          35   72901.000000000000       0.69067499299563184        0.0000000000000000        5.1758038685629289E-002   239882656.56722683        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          36   73001.000000000000       0.69066890046289364        0.0000000000000000        5.1805731305591671E-002   239956268.96548793        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          38   73201.000000000000       0.69065669843368882        0.0000000000000000        5.1900667605414869E-002   240102666.97291106        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          39   73301.000000000000       0.69065058897184584        0.0000000000000000        5.1947911873689745E-002   240175454.46588778        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          40   73401.000000000000       0.69064447390153505        0.0000000000000000        5.1995007281238390E-002   240247968.87001172        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          42   73601.000000000000       0.69063222700438376        0.0000000000000000        5.2088752700246432E-002   240392182.15136418        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          43   73701.000000000000       0.69062609521189444        0.0000000000000000        5.2135403306779925E-002   240463882.89207634        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          45   73901.000000000000       0.69061381502470931        0.0000000000000000        5.2228261807525531E-002   240606477.21325576        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          46   74001.000000000000       0.69060766666415851        0.0000000000000000        5.2274470301498448E-002   240677372.64199328        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          48   74201.000000000000       0.69059535349424350        0.0000000000000000        5.2366447281656778E-002   240818364.63745406        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          49   74301.000000000000       0.69058918871881636        0.0000000000000000        5.2412216372031577E-002   240888463.03726712        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          51   74501.000000000000       0.69057684287160459        0.0000000000000000        5.2503317269138768E-002   241027869.20484063        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          53   74701.000000000000       0.69056447540828381        0.0000000000000000        5.2593837150385465E-002   241166227.25195920        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          55   74901.000000000000       0.69055208646320365        0.0000000000000000        5.2683778459790838E-002   241303544.41010085        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          56   75001.000000000000       0.69054588397683403        0.0000000000000000        5.2728532916596696E-002   241371814.90463865        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          58   75201.000000000000       0.69053346305978680        0.0000000000000000        5.2817610972866871E-002   241507584.20034313        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          60   75401.000000000000       0.69052102099438328        0.0000000000000000        5.2906116610826996E-002   241642330.50989956        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          63   75701.000000000000       0.69050231853250654        0.0000000000000000        5.3037807205785104E-002   241842547.37579507        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          65   75901.000000000000       0.69048982417406735        0.0000000000000000        5.3124892656784523E-002   241974767.15561017        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          67   76101.000000000000       0.69047730912805239        0.0000000000000000        5.3211414398528119E-002   242105988.59302199        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          69   76301.000000000000       0.69046477352482072        0.0000000000000000        5.3297374937352135E-002   242236218.63948014        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          72   76601.000000000000       0.69044593185892955        0.0000000000000000        5.3425268990578839E-002   242429719.95981351        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
