          it         t                          a(i)                     emegas(i)               emepla(i)/5.7d27          rplanet(i)                   amax                          amin                   emestar                   rc                        qest                    sigmag_0
           1   15701.000000000000       0.37015080579153786        0.0000000000000000        5.0021837903705166E-002   168048091.14244521        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           2   15801.000000000000       0.37014370751031589        0.0000000000000000        5.0144869258605833E-002   168185527.49866277        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           3   15901.000000000000       0.37013659536650045        0.0000000000000000        5.0265162627816135E-002   168319693.34168097        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           4   16001.000000000000       0.37012946976376804        0.0000000000000000        5.0382771642338675E-002   168450663.46376410        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           5   16101.000000000000       0.37012233109770359        0.0000000000000000        5.0497749235147216E-002   168578511.08790195        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           6   16201.000000000000       0.37011517975591252        0.0000000000000000        5.0610147631712697E-002   168703307.89399943        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           7   16301.000000000000       0.37010801611813376        0.0000000000000000        5.0720018341812889E-002   168825124.04496932        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           8   16401.000000000000       0.37010084055635384        0.0000000000000000        5.0827412152559114E-002   168944028.21270773        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
           9   16501.000000000000       0.37009365343492145        0.0000000000000000        5.0932379122575658E-002   169060087.60393310        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          10   16601.000000000000       0.37008645511066307        0.0000000000000000        5.1034968577270079E-002   169173367.98587108        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          11   16701.000000000000       0.37007924593299846        0.0000000000000000        5.1135229105134530E-002   169283933.71176884        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          12   16801.000000000000       0.37007202624405683        0.0000000000000000        5.1233208555020754E-002   169391847.74622327        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          13   16901.000000000000       0.37006479637879297        0.0000000000000000        5.1328954034333379E-002   169497171.69030929        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          14   17001.000000000000       0.37005755666510348        0.0000000000000000        5.1422511908088442E-002   169599965.80649447        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          15   17101.000000000000       0.37005030742394296        0.0000000000000000        5.1513927798785997E-002   169700289.04332879        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          16   17201.000000000000       0.37004304896943963        0.0000000000000000        5.1603246587047909E-002   169798199.05989772        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          17   17301.000000000000       0.37003578160901113        0.0000000000000000        5.1690512412973739E-002   169893752.25002864        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          18   17401.000000000000       0.37002850564347955        0.0000000000000000        5.1775768678169770E-002   169987003.76624149        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          19   17501.000000000000       0.37002122136718607        0.0000000000000000        5.1859058048407909E-002   170078007.54343531        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          20   17601.000000000000       0.37001392906810482        0.0000000000000000        5.1940422456873303E-002   170166816.32230264        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          21   17701.000000000000       0.37000662902795639        0.0000000000000000        5.2019903107961014E-002   170253481.67246518        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          22   17801.000000000000       0.36999932152232018        0.0000000000000000        5.2097540481584159E-002   170338054.01532474        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          23   17901.000000000000       0.36999200682074629        0.0000000000000000        5.2173374337957275E-002   170420582.64662364        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          24   18001.000000000000       0.36998468518686622        0.0000000000000000        5.2247443722820662E-002   170501115.75871018        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
          25   18101.000000000000       0.36997735687850281        0.0000000000000000        5.2319786973072657E-002   170579700.46250448        174.69699000000000        4.4369959067573163E-002   1.5923021799999997E+033   58.232329999999997        2.0325427003097900        42.103920858681292     
